epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,23821,1.05934,0.758,0.9592,0.59785,0.63486,0.5946,0.37328,1.3659,1.24855,1.1573,0.00095456,0.00095456,0.00095456
134,23993.9,1.06888,0.75909,0.95034,0.67779,0.50905,0.56951,0.35325,1.45303,1.40215,1.20993,0.00094664,0.00094664,0.00094664
135,24166,1.05701,0.78296,0.9554,0.63317,0.6121,0.60095,0.37066,1.33492,1.20578,1.13265,0.00093872,0.00093872,0.00093872
136,24337.7,1.03387,0.74815,0.94617,0.55059,0.61566,0.5596,0.34611,1.39281,1.25902,1.16911,0.0009308,0.0009308,0.0009308
137,24509.3,1.09298,0.76444,0.96653,0.66848,0.57295,0.5973,0.37059,1.37304,1.39413,1.15588,0.00092288,0.00092288,0.00092288
138,24683.5,1.05713,0.76867,0.9369,0.66898,0.5694,0.62064,0.38646,1.39265,1.20544,1.15866,0.00091496,0.00091496,0.00091496
139,24856.6,1.09103,0.77626,0.95402,0.633,0.62633,0.60872,0.3861,1.37123,1.1863,1.15328,0.00090704,0.00090704,0.00090704
140,25027.9,1.04457,0.73823,0.95029,0.56091,0.61566,0.55439,0.3493,1.37507,1.30201,1.14976,0.00089912,0.00089912,0.00089912
141,25202.7,1.06235,0.75015,0.95619,0.61172,0.56228,0.56566,0.36991,1.36105,1.34745,1.17773,0.0008912,0.0008912,0.0008912
142,25377.5,1.06685,0.74981,0.94678,0.58645,0.62073,0.57917,0.36824,1.36691,1.34674,1.1691,0.00088328,0.00088328,0.00088328
143,25547.7,1.04469,0.75124,0.94575,0.63476,0.55872,0.57679,0.37103,1.34207,1.27641,1.12837,0.00087536,0.00087536,0.00087536
144,25720.3,1.04252,0.72352,0.93513,0.64562,0.5694,0.58841,0.37655,1.3587,1.34017,1.12941,0.00086744,0.00086744,0.00086744
145,25894.5,1.04604,0.72333,0.95666,0.60362,0.61238,0.59548,0.37264,1.3675,1.17326,1.15426,0.00085952,0.00085952,0.00085952
146,26068.4,1.02749,0.71809,0.93567,0.60239,0.60142,0.5808,0.37332,1.32719,1.24219,1.14859,0.0008516,0.0008516,0.0008516
147,26238.7,1.01876,0.74837,0.93948,0.60979,0.63345,0.60765,0.39084,1.33442,1.19798,1.13389,0.00084368,0.00084368,0.00084368
148,26411.6,1.02384,0.71586,0.94081,0.598,0.61408,0.58302,0.37329,1.3613,1.26454,1.16335,0.00083576,0.00083576,0.00083576
149,26585.9,1.04203,0.73054,0.93916,0.61835,0.58235,0.59603,0.36693,1.36571,1.23807,1.16262,0.00082784,0.00082784,0.00082784
150,26756.2,1.02433,0.7232,0.94281,0.66747,0.57651,0.60512,0.37702,1.35652,1.20252,1.16298,0.00081992,0.00081992,0.00081992
151,26930.4,1.05609,0.72134,0.9404,0.67249,0.54093,0.58188,0.3601,1.4033,1.32646,1.16285,0.000812,0.000812,0.000812
152,27099.3,1.06067,0.72225,0.94941,0.56081,0.64057,0.5863,0.37486,1.35748,1.23866,1.1557,0.00080408,0.00080408,0.00080408
153,27273.1,1.0444,0.71697,0.94512,0.58409,0.61922,0.59638,0.36367,1.37715,1.23885,1.12839,0.00079616,0.00079616,0.00079616
154,27443.5,1.04117,0.71594,0.93877,0.64266,0.56963,0.58069,0.36605,1.39277,1.2875,1.16603,0.00078824,0.00078824,0.00078824
155,27617.1,1.05174,0.71934,0.93811,0.6281,0.63345,0.60794,0.38605,1.3233,1.19077,1.11771,0.00078032,0.00078032,0.00078032
156,27789.9,1.02222,0.70824,0.93187,0.5816,0.65125,0.60972,0.38886,1.37197,1.25899,1.14087,0.0007724,0.0007724,0.0007724
157,27959.9,1.04108,0.72663,0.96058,0.62258,0.59075,0.59206,0.36874,1.39929,1.29787,1.16121,0.00076448,0.00076448,0.00076448
158,28131.6,1.02582,0.71858,0.93727,0.65107,0.5516,0.58802,0.36731,1.37891,1.30347,1.16996,0.00075656,0.00075656,0.00075656
159,28302.2,0.99617,0.68642,0.94031,0.57286,0.6548,0.59927,0.37036,1.42879,1.22997,1.20519,0.00074864,0.00074864,0.00074864
160,28471.5,0.99918,0.68767,0.93342,0.58813,0.61566,0.59287,0.36408,1.38342,1.26527,1.15946,0.00074072,0.00074072,0.00074072
161,28645.3,0.98721,0.69838,0.92573,0.64704,0.63933,0.65079,0.40638,1.31843,1.16361,1.12312,0.0007328,0.0007328,0.0007328
162,28817.3,1.00031,0.68676,0.93935,0.61984,0.65125,0.60019,0.38287,1.31171,1.22324,1.11006,0.00072488,0.00072488,0.00072488
163,28988,1.02979,0.69104,0.9353,0.6578,0.54727,0.59182,0.37217,1.36276,1.26518,1.13569,0.00071696,0.00071696,0.00071696
164,29156.6,1.03491,0.72177,0.93965,0.65732,0.62801,0.64072,0.40126,1.32559,1.17368,1.12536,0.00070904,0.00070904,0.00070904
165,29329.8,1.00278,0.68266,0.93907,0.65872,0.63193,0.62444,0.40561,1.30763,1.14774,1.12574,0.00070112,0.00070112,0.00070112
166,29501.3,1.02133,0.69789,0.94009,0.67279,0.61922,0.63034,0.39723,1.34606,1.15507,1.14133,0.0006932,0.0006932,0.0006932
167,29671.9,1.00966,0.69338,0.93573,0.62547,0.62989,0.62336,0.39072,1.36743,1.17789,1.14071,0.00068528,0.00068528,0.00068528
168,29844.9,1.00667,0.68359,0.93247,0.60838,0.63701,0.60727,0.39331,1.33481,1.14148,1.12882,0.00067736,0.00067736,0.00067736
169,30017.9,1.00797,0.69398,0.92639,0.62885,0.6121,0.58396,0.36882,1.4183,1.28693,1.17808,0.00066944,0.00066944,0.00066944
170,30190.2,1.04163,0.70646,0.93159,0.57394,0.60854,0.57358,0.36206,1.37826,1.2924,1.18548,0.00066152,0.00066152,0.00066152
171,30361.8,0.97961,0.67037,0.931,0.55276,0.68327,0.60245,0.38118,1.34714,1.16572,1.1495,0.0006536,0.0006536,0.0006536
172,30535.6,0.99886,0.66775,0.92217,0.66243,0.62633,0.61511,0.39288,1.33652,1.15889,1.13678,0.00064568,0.00064568,0.00064568
173,30704.9,0.99434,0.67197,0.9212,0.58852,0.66548,0.5915,0.38057,1.34895,1.22097,1.16575,0.00063776,0.00063776,0.00063776
174,30877.3,0.98448,0.66675,0.93907,0.54499,0.70107,0.59985,0.36946,1.37175,1.25517,1.16694,0.00062984,0.00062984,0.00062984
175,31048.4,1.0008,0.66465,0.9346,0.58569,0.66407,0.60882,0.3832,1.36372,1.15956,1.16406,0.00062192,0.00062192,0.00062192
176,31221.6,0.98891,0.66713,0.93431,0.63709,0.58725,0.60929,0.38954,1.37052,1.22695,1.16518,0.000614,0.000614,0.000614
177,31392.4,0.97979,0.68105,0.93134,0.67016,0.5929,0.60641,0.38424,1.3403,1.2157,1.15761,0.00060608,0.00060608,0.00060608
178,31564.6,0.97475,0.66667,0.92166,0.61188,0.65125,0.60656,0.38864,1.32203,1.1486,1.13213,0.00059816,0.00059816,0.00059816
179,31735.5,0.96515,0.65219,0.92857,0.60192,0.65836,0.61794,0.39279,1.32716,1.19707,1.13431,0.00059024,0.00059024,0.00059024
180,31906.6,0.97633,0.67997,0.90918,0.57525,0.66192,0.59763,0.3739,1.34606,1.24751,1.14672,0.00058232,0.00058232,0.00058232
181,32080.2,0.95525,0.65614,0.91675,0.64318,0.59431,0.60836,0.38226,1.31143,1.26452,1.12053,0.0005744,0.0005744,0.0005744
182,32249.6,0.96326,0.64702,0.93163,0.67024,0.56419,0.62229,0.40226,1.31349,1.18857,1.12274,0.00056648,0.00056648,0.00056648
